,file_name,time,procs_per_node,nodes,speedup
0,1_64_64,15.31,1,64,43.37034617896799
1,2_32_64,15.33,2,32,43.31376386170907
2,2_64_128,10.72,2,64,61.940298507462686
3,4_16_64,15.32,4,16,43.34203655352481
4,4_32_128,10.67,4,32,62.23055295220244
5,4_64_256,9.17,4,64,72.41003271537623
