file_name;time;procs_per_node;nodes
1_2_2;192.55;1;2
1_4_4;98.57;1;4
1_8_8;51.94;1;8
2_2_4;98.61;2;2
2_4_8;51.95;2;4
2_8_16;28.66;2;8
3_4_12;36.29;3;4
3_8_24;20.78;3;8
4_16_64;17.23;4;16
4_32_128;27.75;4;32
4_8_32;16.78;4;8
